"Pos","Name","Ct SYBR","Target SYBR"
"A5","32M",32.84,"60SPS27"
"C6","32M",34.58,"3218qs"
"A4","32M",34.88,"60SPS27"
"C5","32M",35.35,"3218qs"
"C12","42FB",34.11,"3218qs"
"C10","42FB",35.24,"3218qs"
"C11","42FB",35.92,"3218qs"
"C3","52ML",17.95,"3218qs"
"C2","52ML",19.81,"3218qs"
"C1","52ML",22.49,"3218qs"
"D3","52ML",22.70,"644qs"
"D2","52ML",23.21,"644qs"
"A1","52ML",24.76,"60SPS27"
"A2","52ML",25.47,"60SPS27"
"D1","52ML",25.63,"644qs"
"B2","52ML",27.48,"86qs"
"B1","52ML",27.70,"86qs"
"E3","52ML",28.78,"76qs"
"B3","52ML",28.95,"86qs"
"E2","52ML",30.06,"76qs"
"E1","52ML",31.11,"76qs"
"F2","52ML",33.04,"7271qs"
"F3","52ML",33.86,"7271qs"
"F1","52ML",35.46,"7271qs"
